Thread ID,Reply #,Author,Date,Comment,Highlighted Text,Context,Char Position
6a60563e16df8c2c5ac311e2,0,a.gendzwill,"22 July, 7:33 am",Balance of covariates between conditions (może być krótki statement tylko).,respondents.,"The survey (wave 1 of the 2024 Polish Local Election Study) was fielded online on a quota-representative sample of adult Poles between 28 March and 7 April 2024. The company OGB, hosting the online research panel Ariadna, invited 9,534 panel members; 2,935 entered the survey, 521 did not complete it, and 207 were removed by the company due to the quality-control criteria (attention checks, extremely short response times), leaving 2,207 respondents. Quota sampling scheme included five variables: respondent's sex, age (five categories), size of the locality (five categories), education (two categories), and region (16 voivodeships). The split-ballot assignment yielded 778 MP, 742 mayor, and 687 councillor respondents.",31245
6a605c641ee3285a53028609,0,a.gendzwill,"22 July, 8:00 am","Tu wklejam dokładne brzmienie pytań z sondażu. Trzeba to jakoś edycyjnie uporządkować - chyba najlepiej w postaci tabeli (polski/angielski) z tłumaczeniem itemów. Nie ma aż takiego problemu z binary outcome - jego kodowanie jako ""competent"" jest w sumie niewłaściwe, to jest raczej ""suitable for office"". To uchyla też jeden potencjalnie krytyczny argument z ""recenzji"" AI.",The exact question wording in Polish:,"The respondents saw four pairs of randomized candidate profiles; the assigned office was constant for each respondent. Two outcomes were measured: (a) the candidate's profile selected as ""better suited for office"" (forced-choice task); (b) the size of the advantage of the selected profile over another, measured on an 11-point scale (ranging from 0 - labelled as ""minimal advantage"" to 10 - labelled as ""huge advantage"").
The exact question wording in Polish:",32341
6a605d3916df8c2c5ac312b1,0,a.gendzwill,"22 July, 8:03 am",Robust?,Standard errors are clustered by respondent,"For profile $j$ in task $t$ evaluated by respondent $i$, the pooled model underlying Figure~\ref{fig:main-effects} is
\begin{equation}
Y_{ijt}=\alpha+\sum_{a}\sum_{l\neq 0}\beta_{al}D_{ijtal}+\boldsymbol{\delta}^{\mathsf T}\mathbf{O}_{i}+\varepsilon_{ijt},
\end{equation}
where $D_{ijtal}$ indexes the non-reference level $l$ of the randomized attribute $a$, and $\mathbf{O}_{i}$ contains office-condition indicators. Standard errors are clustered by respondent. Figure~\ref{fig:office} replaces the additive municipal-roots and office terms with their full interaction:
\begin{equation}
Y_{ijt}=\alpha+\boldsymbol{\beta}^{\mathsf T}\mathbf{X}_{ijt}+\boldsymbol{\gamma}^{\mathsf T}(\mathbf{M}_{ijt}\times\mathbf{O}_{i})+\varepsilon_{ijt}.
\end{equation}
Figure~\ref{fig:heterogeneity} analogously interacts municipal roots $\mathbf{M}_{ijt}$ with the binary alignment measure $\mathbf{A}_{ijt}$ and controls for the respondent's pro- or anti-government attitude group $\mathbf{R}_{i}$:
\begin{equation}
Y_{ijt}=\alpha+\boldsymbol{\beta}^{\mathsf T}\mathbf{X}_{ijt}+\boldsymbol{\theta}^{\mathsf T}(\mathbf{M}_{ijt}\times\mathbf{A}_{ijt})+\boldsymbol{\rho}^{\mathsf T}\mathbf{R}_{i}+\boldsymbol{\delta}^{\mathsf T}\mathbf{O}_{i}+\varepsilon_{ijt}.
\end{equation}
In the second and third equations, $\mathbf{X}_{ijt}$ contains the remaining randomized attributes. In the alignment model, the randomized government cue enters through $\mathbf{A}_{ijt}$ rather than as a separate additive term. Reported conditional results are predictions averaged over the analyzed profile distribution and their linear contrasts, not the raw interaction coefficients.",35359
6a605eb30046c713907c338c,0,a.gendzwill,"22 July, 8:09 am","Proponuję to przenieść między A i B - bo dotyczy randomizacji (designu eksperymentu) a nie analizy danych. Można by tu również sprawdzić randomizację split-ballot: czy znane charakterystyki respondentów używane do kwotowania (płeć, wiek, wykształcenie) rozkładają się równo między trzema grupami (tzw. balance check). Wtedy ta analiza co jest teraz w E byłaby ""randomization of attribute levels within office conditions""","\section{Randomization balance}
\label{app:balance}","\section{Randomization balance}
\label{app:balance}",37773
6a6061d6598bc446d6accb22,0,a.gendzwill,"22 July, 8:23 am","Ta tabela zawiera w sumie descriptives dla alternatywnej outcome measure, więc może lepiej przesunąć ją do Appendix B (gdzie jest omówiony wording). Można dodać że distribution of the continuous variable indicates that in the majority of cases the preference for one profile over another is very clear.","Table \table\par
Distribution of the selected profile's advantage rating\par
\vspace{0.25em}","\vspace{1.25em}
\centering
\begin{minipage}{0.43\textwidth}
\refstepcounter{table}
\label{tab:advantage-distribution}
Table \table\par
Distribution of the selected profile's advantage rating\par
\vspace{0.25em}
\centering
\resizebox{\linewidth}{!}{\input{tables/paper_advantage_distribution.tex}}",40717
6a606427c507ff1d9616cb4f,0,a.gendzwill,"22 July, 8:33 am",Rice & Macht 1987 https://doi.org/10.2307/2111084,"\citep{gorecki2012,evans2017}","Friends-and-neighbors voting (FNV) is a recurring pattern in electoral geography: candidates tend to receive disproportionate support where they live, were born, or otherwise have a local connection \citep{key1949,lewisbeck1983,gimpel2008}. Empirical analyses of the election results link geographic proximity and candidate localness to the distribution of personal votes across national contests \citep{gorecki2012,evans2017} and in local elections, where even in a microscale candidates gain higher support in and near their home localities \citep{gorecki2022}. Despite increasing party polarization and nationalization of politics observed in many countries, voters continue to value candidate local roots. This preference tends to be stronger among voters with a strong place identity (MUNIS 2021; MUNIS i BURKE 2023). The extant studies suggest that ""going local"" can be an efficient parties' and candidates' strategy to attenuate or bypass strong in-group favoritism based on partisanship and government-opposition dynamics. Yet, we still know little about the relative importance of various local cues and their interaction with party-based cues in various electoral contexts.",2743
6a606427c507ff1d9616cb4f,1,a.gendzwill,"22 July, 8:34 am",Put et al. 2020 10.1016/j.polgeo.2020.102219,,,
6a606427c507ff1d9616cb4f,2,a.gendzwill,"22 July, 12:48 pm","Arzheimer, K., Evans, J., 2012. Geolocation and voting: candidate-voter distance  effects on party c...",,,
6a6065e80046c713907c34cf,0,a.gendzwill,"22 July, 8:40 am","To jest już całkiem ok, tylko mechanizmy nie są jasno wyłożone: pierwsze zdanie wymienia je trochę jakby w oderwaniu od behavioral vs symbolic localism. To rozróżnienie zresztą nie jest aż tak kluczowe dla tego tekstu. Brakuje za to szybkiego odniesienia się do sedna czyli nexus localism vs party alignment. If localism is a powerful cue underlying candidate vote choice, we ask how it interacts with another primary cue, namely national government-opposition alignment","Those observational associations, however, combine several mechanisms. Local information about candidates declines with distance \citep{bowler1993}, while locally rooted candidates may canvass more intensively near home, draw on personal networks, enjoy greater name recognition, or mobilize nearby voters more effectively.

This distinction separates \emph{descriptive localism} from two possible interpretations of it. Descriptive localism is the observable fact that a candidate lives locally. Voters may translate that fact into \emph{behavioral localism}---an expectation that the candidate will know, represent, or serve the area better---or into \emph{symbolic localism}, an attachment to someone perceived as belonging to the same local community. Survey experiments show that residence affects candidate evaluations even when profiles provide comparable information \citep{campbellcowley2014}. Later studies do not support a single universal mechanism. \citet{campbell2019} find that expected local service explains part of the local-candidate advantage, while \citet{nyholt2024} finds that residence preferences are not reducible to symbolic local attachment. The present experiment tests the exact municipal-connection statements shown to respondents; it does not manipulate campaign effort or directly observe personal acquaintance.","Those observational associations, however, combine several mechanisms. Local information about candidates declines with distance \citep{bowler1993}, while locally rooted candidates may canvass more intensively near home, draw on personal networks, enjoy greater name recognition, or mobilize nearby voters more effectively.",3531
6a606a6b0046c713907c35c3,0,a.gendzwill,"22 July, 8:59 am",Tu raczej trzeba pozycjonować tekst jako wprowadzający interakcję między (descriptive) localism i gov-opp status. Nie jestesmy w stanie rozróżnić na symbolic i behavioral w tym eksperymencie, The present experiment tests the exact municipal-connection statements shown to respondents; it does not manipulate campaign effort or directly observe personal acquaintance.,"This distinction separates \emph{descriptive localism} from two possible interpretations of it. Descriptive localism is the observable fact that a candidate lives locally. Voters may translate that fact into \emph{behavioral localism}---an expectation that the candidate will know, represent, or serve the area better---or into \emph{symbolic localism}, an attachment to someone perceived as belonging to the same local community. Survey experiments show that residence affects candidate evaluations even when profiles provide comparable information \citep{campbellcowley2014}. Later studies do not support a single universal mechanism. \citet{campbell2019} find that expected local service explains part of the local-candidate advantage, while \citet{nyholt2024} finds that residence preferences are not reducible to symbolic local attachment. The present experiment tests the exact municipal-connection statements shown to respondents; it does not manipulate campaign effort or directly observe personal acquaintance.",4700
6a606adc1ee3285a53028878,0,a.gendzwill,"22 July, 9:01 am",Jeszcze parę cytowań tu by się przydało do przeglądu. Zerknij na to: https://link.springer.com/article/10.1007/s11109-016-9383-3 i na to: https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/abs/friendsandneighbors-mobilization-a-field-experimental-replication-and-extension/280EB992AE386071F2F08B48A6E8D42C,Survey experiments show that residence affects candidate evaluations even when profiles provide comparable information,"This distinction separates \emph{descriptive localism} from two possible interpretations of it. Descriptive localism is the observable fact that a candidate lives locally. Voters may translate that fact into \emph{behavioral localism}---an expectation that the candidate will know, represent, or serve the area better---or into \emph{symbolic localism}, an attachment to someone perceived as belonging to the same local community. Survey experiments show that residence affects candidate evaluations even when profiles provide comparable information \citep{campbellcowley2014}. Later studies do not support a single universal mechanism. \citet{campbell2019} find that expected local service explains part of the local-candidate advantage, while \citet{nyholt2024} finds that residence preferences are not reducible to symbolic local attachment. The present experiment tests the exact municipal-connection statements shown to respondents; it does not manipulate campaign effort or directly observe personal acquaintance.",4287
6a606bc8c507ff1d9616ccef,0,a.gendzwill,"22 July, 9:05 am","Munis 2021 https://www.sciencedirect.com/science/article/pii/S0962629821000056?casa_token=6hpOUDSDinEAAAAA:a7Z3jXWbDp1T6DdcX-UmU3Xjb6v6wCCyqr7GUzuLJWiRqbqcFA384-141UvVAo-CYXjyB0Rz37Q

https://journals.sagepub.com/doi/full/10.1177/1532673X231173402?casa_token=ZrYSrUag3l0AAAAA%3A2PfC5_TPJ20RepZ3PwAQ-NR9T1koAkXkKgj_sSv_iNson7G6ZszJJCx5ntWucjnVF9qeO0DXoRGXkw",(MUNIS 2021; MUNIS i BURKE 2023),"Friends-and-neighbors voting (FNV) is a recurring pattern in electoral geography: candidates tend to receive disproportionate support where they live, were born, or otherwise have a local connection \citep{key1949,lewisbeck1983,gimpel2008}. Empirical analyses of the election results link geographic proximity and candidate localness to the distribution of personal votes across national contests \citep{gorecki2012,evans2017} and in local elections, where even in a microscale candidates gain higher support in and near their home localities \citep{gorecki2022}. Despite increasing party polarization and nationalization of politics observed in many countries, voters continue to value candidate local roots. This preference tends to be stronger among voters with a strong place identity (MUNIS 2021; MUNIS i BURKE 2023). The extant studies suggest that ""going local"" can be an efficient parties' and candidates' strategy to attenuate or bypass strong in-group favoritism based on partisanship and government-opposition dynamics. Yet, we still know little about the relative importance of various local cues and their interaction with party-based cues in various electoral contexts.",3135
6a606fb1c507ff1d9616cdde,0,a.gendzwill,"22 July, 9:22 am","To jest taki research gap statement, który uzasadnia nasze contribution, skupione na: (1) estymacji siły ""local cues"" względem innych cues, (2) interakcji local cues i gov-opp cues, (3) sprawdzeniu jak działają trzy poziomy local cues (od urodzenia - przyjezdny - spadochroniarz) w trzech różnych kontekstach (różne urzędy)","Yet, we still know little about the relative importance of various local cues and their interaction with party-based cues in various electoral contexts.","Friends-and-neighbors voting (FNV) is a recurring pattern in electoral geography: candidates tend to receive disproportionate support where they live, were born, or otherwise have a local connection \citep{key1949,lewisbeck1983,gimpel2008}. Empirical analyses of the election results link geographic proximity and candidate localness to the distribution of personal votes across national contests \citep{gorecki2012,evans2017} and in local elections, where even in a microscale candidates gain higher support in and near their home localities \citep{gorecki2022}. Despite increasing party polarization and nationalization of politics observed in many countries, voters continue to value candidate local roots. This preference tends to be stronger among voters with a strong place identity (MUNIS 2021; MUNIS i BURKE 2023). The extant studies suggest that ""going local"" can be an efficient parties' and candidates' strategy to attenuate or bypass strong in-group favoritism based on partisanship and government-opposition dynamics. Yet, we still know little about the relative importance of various local cues and their interaction with party-based cues in various electoral contexts.",3377
6a6071480046c713907c3759,0,a.gendzwill,"22 July, 9:29 am",Coś współcześniejszego by się przydało tutaj jako REF,"Voters often make decisions with limited information and use observable candidate traits as shortcuts \citep{popkin1991,lupia1994}.","Voters often make decisions with limited information and use observable candidate traits as shortcuts \citep{popkin1991,lupia1994}. Municipal residence may signal knowledge of local problems, shared material interests, accessibility after the election, reputational accountability, or embeddedness in local networks. These inferences need not be correct for the cue to affect choice. Nor do they require the respondent to know the candidate personally.",7749
6a6071720046c713907c3767,0,a.gendzwill,"22 July, 9:29 am",?,but neither establishes what respondents infer from the residence wording used here.,"Different forms of local connection need not carry the same information. In Estonia, local political experience predicts electoral success and parliamentary independence, whereas local birthplace does not \citep{tavits2010}. A separate identity-based account treats support for a hometown candidate as an expression of local group membership; evidence from German elections is consistent with this interpretation even for candidates with little prospect of winning office \citep{schultecloos2023}. These findings make behavioral and symbolic interpretations plausible, but neither establishes what respondents infer from the residence wording used here.",8772
6a6071f2c507ff1d9616ce61,0,a.gendzwill,"22 July, 9:32 am","Tylko eksperyment pojawia się tu chyba za wcześnie, dokładny research design jest dopiero w section 3
Trzeba tu rozpisać dokładniej że localism jest stopniowalny, choć w badaniach zwykle przyjmował formę binarnej dystynkcji (to podkreśla nasze contribution). Nie rozpisywałbym się długo nad behavioral i symbolic, bo nie jesteśmy w stanie dotknąć tej dystynkcji. While recent studies focused on investigating mechanisms by which localism operates, less is known about the strength of various local cues and their effectiveness in different contexts. 
Dodałbym coś o parachute candidates - bo to jest dokładnie jeden z treatmentów: https://journals.sagepub.com/doi/full/10.1177/02633957241267754#bibr8-02633957241267754",important for interpreting the experiment. The municipal-connection attribute operationalizes descriptive localism:,"The conceptual distinction is important for interpreting the experiment. The municipal-connection attribute operationalizes descriptive localism: profiles state that the candidate has lived in the municipality since birth, has lived there for a few years, or lives elsewhere while claiming to know local problems. A positive contrast between these complete statements is consistent with voters inferring behavioral or symbolic proximity, but it does not identify either mechanism. It also differs from the campaign-contact process documented in observational research \citep{gorecki2012}. We therefore expect the locally resident statements to produce more favorable evaluations than the outsider statement, while treating the mechanism as unresolved.",8888
6a6078f7c507ff1d9616d096,0,a.gendzwill,"22 July, 10:01 am",To nie do końca jasne - cues zawsze niosą jakąś treść,"The expectation remains tentative because the same municipal-connection wording may carry meaning even for national office, and the split-ballot sample limits precision. We therefore evaluate the full interaction and its omnibus test rather than treating the rank order of point estimates as decisive evidence.","The informational value of municipal roots may vary with elected office. Local ties are typically considered personal vote-earning attributes whose usefulness depends on how voters choose among individual candidates \citep{shugart2005,jankowski2016}. Yet, some of the PVEA may be more salient in certain electoral contexts. To account for this potential heterogeneity, we used three types of elected offices in Conjoint tasks. The councillor prompt supplies the most territorially focused representative role, with the smallest constituency. The mayor prompt concerns municipality-wide executive office and the MP prompt -- an office within the nation-wide representative body. This ordering suggests that municipal roots could matter most for councillors, less for mayors, and least for MPs. The expectation remains tentative because the same municipal-connection wording may carry meaning even for national office, and the split-ballot sample limits precision. We therefore evaluate the full interaction and its omnibus test rather than treating the rank order of point estimates as decisive evidence.",11940
6a607a511ee3285a53028cce,0,a.gendzwill,"22 July, 10:07 am",niejasne troche,"The outsider's knowledge declaration makes it an informative reference level, but it also means that the estimates compare bundled statements rather than residence separated factorially from every other phrase.","Table~\ref{tab:attributes} displays attributes and their levels. Sex and occupation appeared as a combination, using gender-consistent forms in Polish. The government-opposition cue described a candidate as a supporter of, neutral toward, or opponent of the current government. The municipal-roots attribute randomized three statements: residence since birth, residence for a few years, and residence elsewhere with declared knowledge of local problems (parachute candidate). The outsider's knowledge declaration makes it an informative reference level, but it also means that the estimates compare bundled statements rather than residence separated factorially from every other phrase.",13715
6a607a511ee3285a53028cce,1,a.gendzwill,"22 July, 1:02 pm",the common justification / defensive strategy of prachute candidates fileded in various districts,,,
6a607aee0046c713907c3a3e,0,a.gendzwill,"22 July, 10:10 am","Ten opis trzeba uprościć na podstawie tego co dodałem do Appendixa, żeby nie wzbudzać confusion. Moim zdaniem nie ma kłopotu ze zmienną binarną forced-choice. To było pytanie o to który kandydat się lepiej nadaje. Trzeba tu w jednym akapicie opisać, jakie dwa outcomes były oceniane i że baseline to binary outcome","The technical report describes selection of the preferred profile, whereas the released profile-level outcome is labelled ``Candidate is more competent for the office (outcome variable).'' The report does not reproduce the verbatim response screen. We therefore follow the released outcome label and interpret the binary variable \texttt{competence} as selection of the profile judged more competent; one profile in each pair takes the value one. Respondents also rated the selected profile's advantage on an 11-point scale. The robustness analysis assigns that value positively to the selected profile and negatively to the other profile, producing a profile-level range from $-10$ to $10$. These outcomes capture stated comparative evaluation, not actual turnout or vote choice.","The technical report describes selection of the preferred profile, whereas the released profile-level outcome is labelled ``Candidate is more competent for the office (outcome variable).'' The report does not reproduce the verbatim response screen. We therefore follow the released outcome label and interpret the binary variable \texttt{competence} as selection of the profile judged more competent; one profile in each pair takes the value one. Respondents also rated the selected profile's advantage on an 11-point scale. The robustness analysis assigns that value positively to the selected profile and negatively to the other profile, producing a profile-level range from $-10$ to $10$. These outcomes capture stated comparative evaluation, not actual turnout or vote choice.",14965
6a607b3c598bc446d6acd1a4,0,a.gendzwill,"22 July, 10:11 am",Tu i wszędzie indziej: more fit-for-office albo suitable for office,judged more competent,"Figure~\ref{fig:main-effects} reports both marginal means (MMs) and AMCEs. An MM is the average predicted probability of being judged more competent at an attribute level, averaging over the design distribution of the other attributes. An AMCE is the average change relative to a named reference level. MMs make levels directly comparable without making a subgroup's result depend on an arbitrary reference category. Accordingly, the office and alignment analyses use MMs and differences in MMs \citet{leeper2020}. We use response-scale differences from interaction models rather than interpreting raw product-term coefficients. This choice is also consistent with the broader distinction between factorial interaction parameters and substantively interpretable conditional contrasts \citep{egami2019}.",16490
6a608c6a16df8c2c5ac320d1,0,a.gendzwill,"22 July, 11:24 am","Tu chyba jeszcze można zaraportować że żaden z testów parami w obrębie 3 kategorii lokalności nie pokazuje różnic istotnych statystycznie (MP vs mayor, MP vs cllr, cllr vs mayor)","More importantly, an omnibus Wald test does not detect heterogeneity in the","The point estimates do not display the predicted monotonic office ordering. More importantly, an omnibus Wald test does not detect heterogeneity in the municipal-roots terms across offices, $F(4,2185)=0.661$, $p=.619$. The data therefore do not support the claim that the municipal-roots contrast is strongest for councillor profiles.",20826
6a608cb90046c713907c415b,0,a.gendzwill,"22 July, 11:26 am","Rozumiem o co chodzi, ale to sformułowanie raczej nie jest standardowe i nie będzie zrozumiane. Może: comparison of partisan and place-based cues?
Trzeba by się zdecydować na jakieś jednolite sformułowanie tego atrybutu ""gov-opp"" i atrybutu ""terytorialnego""",clearly positioned profiles,Figure~\ref{fig:heterogeneity} presents the paper's main comparison among clearly positioned profiles and respondents. Its left column shows MMs; its right column shows differences in MMs with a zero reference line. Panel A asks how the municipal-roots contrast changes between aligned and non-aligned profile--respondent relations. Panel B reverses the comparison and asks how government--opposition alignment changes within each municipal-connection level.,21739
6a608f241ee3285a53029552,0,a.gendzwill,"22 July, 11:36 am","Zastanawiam się czy na pewno potrzebujemy analiz w obie strony w tekście głównym. Interesuje nas czy ""local bonus"" jest istotnie większy dla ""party-aligned"" czy ""non-aligned"", czyli DiD - z wykresów odczytuję, że ""local bonus"" jest większy dla ingroup (aligned) ale nie wiem z wykresu czy to jest istotna statystycznie różnica. Podobnie widać, że party alignemnt bonus jest większy o kilka punktów procentowych Pr dla żyjących od urodzenia niż dla spadochroniarzy. Testy tych różnic warto byłoby skomentować, bo to one są istotnym finding IMO. Ponieważ nie są to duże różnice, trzeba by jeszcze sprawdzić ich odporność na inne specyfikacje (w szczególności chodzi mi o istotność współczynnika przy interakcji)",Panel A asks how the municipal-roots contrast changes between aligned and non-aligned profile--respondent relations. Panel B reverses the comparison and asks how government--opposition alignment changes within each municipal-connection level.,Figure~\ref{fig:heterogeneity} presents the paper's main comparison among clearly positioned profiles and respondents. Its left column shows MMs; its right column shows differences in MMs with a zero reference line. Panel A asks how the municipal-roots contrast changes between aligned and non-aligned profile--respondent relations. Panel B reverses the comparison and asks how government--opposition alignment changes within each municipal-connection level.,21881
